user_id,day,chronotype,weekday,alarm_hour,alarm_minute,alarm_hour_with_snooze,alarm_minute_with_snooze,sleep_duration_hours,screen_time_before_bed_min,smart_sleep_meter,stress_level,sleep_quality,exercise_done,nap_duration_min,snooze_count,next_day_smart_sleep,snooze_time_min,optimal_alarm_hour,optimal_alarm_minute,mood
1,1,standard,0,7,48,7,58,5.8,65,5.1,4.5,4.9,0,56,1,3.9,10,7,48,neutral
1,2,standard,1,7,25,7,45,7.0,58,3.9,4.7,4.5,0,35,2,5.5,20,6,25,neutral
1,3,standard,2,7,33,7,33,7.9,56,5.5,5.0,7.8,0,21,0,6.2,0,7,33,neutral
1,4,standard,3,7,52,7,52,5.8,61,6.2,5.3,6.2,0,17,0,5.8,0,7,52,neutral
1,5,standard,4,7,51,8,1,7.2,70,5.8,4.2,7.2,1,19,1,4.3,10,7,51,neutral
1,6,standard,5,8,6,8,26,7.1,65,4.3,3.4,5.8,1,42,2,3.6,20,9,6,neutral
1,7,standard,6,8,15,8,15,7.3,56,3.6,4.2,5.0,1,25,0,3.3,0,7,15,sad
1,8,standard,0,7,52,8,12,6.8,56,3.3,4.1,6.6,0,43,2,6.2,20,6,52,neutral
1,9,standard,1,7,51,7,51,7.3,55,6.2,4.9,10.0,0,26,0,2.6,0,7,51,neutral
1,10,standard,2,7,5,7,5,6.6,65,2.6,4.4,7.1,1,20,0,4.6,0,8,5,sad
1,11,standard,3,7,19,7,19,5.9,68,4.6,4.3,7.9,1,50,0,3.7,0,8,19,neutral
1,12,standard,4,7,37,7,37,6.3,74,3.7,4.0,5.7,1,12,0,7.6,0,8,37,sad
1,13,standard,5,8,38,8,48,6.3,64,7.6,2.9,8.7,1,5,1,5.1,10,8,38,happy
1,14,standard,6,8,8,8,8,7.2,57,5.1,1.6,6.8,1,56,0,3.7,0,8,8,sad
1,15,standard,0,7,44,7,44,8.2,55,3.7,2.1,5.3,1,38,0,5.0,0,6,44,neutral
1,16,standard,1,7,9,7,29,6.4,54,5.0,1.9,6.5,0,59,2,6.2,20,7,9,neutral
1,17,standard,2,7,54,7,54,6.4,45,6.2,2.5,6.4,1,59,0,7.4,0,7,54,sad
1,18,standard,3,7,13,7,33,7.4,46,7.4,2.7,8.9,1,47,2,4.4,20,7,13,happy
1,19,standard,4,7,6,7,6,8.3,43,4.4,2.3,5.0,0,2,0,4.6,0,6,6,neutral
1,20,standard,5,8,57,9,17,8.5,47,4.6,2.8,7.1,0,19,2,3.3,20,9,57,happy
1,21,standard,6,8,13,8,23,5.6,54,3.3,3.6,4.9,0,28,1,3.7,10,9,13,sad
1,22,standard,0,7,13,7,13,6.7,51,3.7,4.2,8.5,1,52,0,4.3,0,6,13,neutral
1,23,standard,1,7,30,7,40,6.0,60,4.3,3.5,6.1,0,32,1,6.5,10,8,30,neutral
1,24,standard,2,7,30,7,30,5.8,64,6.5,2.8,7.3,1,39,0,7.4,0,7,30,sad
1,25,standard,3,7,44,8,4,9.3,74,7.4,2.5,7.2,1,43,2,4.6,20,7,44,neutral
1,26,standard,4,7,58,8,18,7.4,79,4.6,2.8,6.8,1,9,2,4.9,20,8,58,neutral
1,27,standard,5,8,54,8,54,8.4,80,4.9,3.7,5.2,0,38,0,3.5,0,7,54,sad
1,28,standard,6,8,31,9,1,7.2,89,3.5,3.3,4.9,0,47,3,5.4,30,7,31,neutral
1,29,standard,0,7,50,7,50,5.8,90,5.4,3.6,7.0,1,59,0,6.8,0,7,50,neutral
2,1,late,0,9,58,9,58,6.8,13,3.6,5.9,7.4,0,13,0,3.6,0,10,58,sad
2,2,late,1,9,30,9,30,7.5,8,3.6,5.7,5.6,1,40,0,5.2,0,8,30,neutral
2,3,late,2,9,44,9,54,7.5,0,5.2,6.9,7.5,1,5,1,2.8,10,9,44,sad
2,4,late,3,9,41,9,51,6.4,5,2.8,6.9,6.8,0,32,1,1.3,10,10,41,sad
2,5,late,4,9,5,9,5,6.6,0,1.3,7.7,4.0,1,10,0,5.3,0,8,5,sad
2,6,late,5,10,54,10,54,6.2,2,5.3,7.8,7.6,1,24,0,2.8,0,10,54,sad
2,7,late,6,10,18,10,18,5.6,0,2.8,8.2,7.2,0,51,0,4.7,0,9,18,sad
2,8,late,0,9,3,9,3,6.8,7,4.7,8.9,6.7,0,52,0,2.1,0,9,3,happy
2,9,late,1,9,51,9,51,5.9,8,2.1,10.0,5.9,0,30,0,4.0,0,8,51,sad
2,10,late,2,9,1,9,11,6.8,18,4.0,10.0,10.0,1,35,1,5.4,10,9,1,neutral
2,11,late,3,9,58,9,58,6.1,9,5.4,9.4,7.6,1,42,0,4.0,0,9,58,neutral
2,12,late,4,9,33,9,33,6.2,4,4.0,9.7,8.7,1,42,0,5.8,0,9,33,happy
2,13,late,5,10,42,10,52,5.7,4,5.8,9.6,5.5,1,47,1,3.8,10,10,42,neutral
2,14,late,6,10,7,10,7,5.9,0,3.8,9.4,5.9,0,24,0,3.8,0,10,7,sad
2,15,late,0,9,41,10,1,6.3,0,3.8,10.0,7.4,1,28,2,4.5,20,9,41,sad
2,16,late,1,9,35,9,35,6.2,0,4.5,10.0,7.6,0,50,0,2.2,0,9,35,neutral
2,17,late,2,9,49,9,49,7.0,0,2.2,9.7,3.9,0,53,0,2.2,0,8,49,sad
2,18,late,3,9,28,9,48,5.8,9,2.2,9.8,8.8,0,51,2,3.2,20,10,28,sad
2,19,late,4,9,14,9,24,7.2,13,3.2,10.0,6.6,1,46,1,3.8,10,8,14,sad
2,20,late,5,10,58,11,8,5.1,21,3.8,9.7,7.7,0,33,1,4.2,10,10,58,sad
2,21,late,6,10,46,10,46,7.7,19,4.2,9.7,8.0,0,27,0,3.1,0,10,46,neutral
2,22,late,0,9,49,9,49,6.9,29,3.1,10.0,8.1,0,27,0,4.7,0,10,49,sad
2,23,late,1,9,41,9,41,6.2,37,4.7,8.9,7.9,0,16,0,1.7,0,9,41,neutral
2,24,late,2,9,45,9,55,6.4,40,1.7,8.9,5.4,1,11,1,4.7,10,8,45,neutral
2,25,late,3,9,57,9,57,6.4,39,4.7,8.7,6.7,1,16,0,4.6,0,9,57,neutral
2,26,late,4,9,44,10,4,5.2,37,4.6,8.6,9.8,1,5,2,4.4,20,9,44,neutral
2,27,late,5,10,28,10,28,6.1,32,4.4,9.2,8.3,0,47,0,4.3,0,10,28,neutral
2,28,late,6,10,53,10,53,6.9,38,4.3,10.0,6.6,1,43,0,3.8,0,10,53,neutral
2,29,late,0,9,9,9,9,8.5,43,3.8,10.0,5.4,0,42,0,3.8,0,9,9,sad
3,1,early,0,6,7,6,7,8.6,10,4.1,6.5,6.6,0,23,0,2.8,0,6,7,neutral
3,2,early,1,6,38,6,48,7.3,13,2.8,6.9,7.5,0,29,1,2.8,10,7,38,sad
3,3,early,2,6,55,7,15,6.8,19,2.8,5.9,5.1,1,22,2,2.1,20,5,55,sad
3,4,early,3,6,42,6,52,7.4,23,2.1,6.2,4.2,1,11,1,4.9,10,5,42,sad
3,5,early,4,6,4,6,4,8.6,28,4.9,6.9,7.3,1,9,0,6.9,0,6,4,sad
3,6,early,5,7,30,7,50,8.8,27,6.9,7.2,10.0,0,48,2,4.9,20,7,30,neutral
3,7,early,6,7,28,7,28,6.1,29,4.9,7.7,7.2,1,48,0,4.6,0,7,28,happy
3,8,early,0,6,55,6,55,7.9,39,4.6,7.7,7.1,1,58,0,4.5,0,6,55,happy
3,9,early,1,6,17,6,37,7.1,42,4.5,7.3,6.6,1,10,2,3.4,20,6,17,neutral
3,10,early,2,6,16,6,16,7.6,47,3.4,7.6,5.5,1,1,0,2.6,0,7,16,neutral
3,11,early,3,6,23,6,23,6.9,38,2.6,7.3,5.4,1,26,0,4.3,0,5,23,sad
3,12,early,4,6,24,6,34,8.9,37,4.3,7.7,6.5,1,20,1,4.3,10,6,24,neutral
3,13,early,5,7,20,7,30,6.0,30,4.3,8.3,7.4,1,34,1,5.7,10,7,20,neutral
3,14,early,6,7,29,7,39,6.4,24,5.7,8.4,6.4,0,1,1,4.0,10,7,29,sad
3,15,early,0,6,31,6,41,7.8,25,4.0,8.6,9.5,1,59,1,4.8,10,6,31,neutral
3,16,early,1,6,50,6,50,7.5,28,4.8,8.0,7.7,0,33,0,3.3,0,6,50,neutral
3,17,early,2,6,25,6,25,8.3,35,3.3,7.7,7.8,0,32,0,0.4,0,7,25,sad
3,18,early,3,6,48,6,48,8.2,45,0.4,9.0,4.3,1,51,0,2.1,0,7,48,sad
3,19,early,4,6,49,6,59,7.9,45,2.1,9.1,4.4,1,33,1,4.2,10,5,49,sad
3,20,early,5,7,2,7,2,7.8,48,4.2,9.2,7.0,1,14,0,1.5,0,7,2,sad
3,21,early,6,7,26,7,26,7.5,41,1.5,8.9,6.1,0,53,0,1.5,0,6,26,sad
3,22,early,0,6,35,6,45,8.0,51,1.5,9.0,5.2,1,29,1,3.2,10,7,35,sad
3,23,early,1,6,48,7,8,7.8,55,3.2,9.5,5.8,1,6,2,2.8,20,5,48,sad
3,24,early,2,6,31,6,41,8.6,48,2.8,9.8,5.5,1,43,1,3.8,10,5,31,sad
3,25,early,3,6,27,6,27,6.9,51,3.8,9.3,7.2,1,24,0,3.4,0,6,27,sad
3,26,early,4,6,48,6,48,7.8,52,3.4,9.3,6.9,1,45,0,2.9,0,7,48,neutral
3,27,early,5,7,11,7,11,9.2,61,2.9,9.5,7.0,1,15,0,3.3,0,6,11,neutral
3,28,early,6,7,28,7,38,7.8,70,3.3,10.0,7.6,1,56,1,4.0,10,6,28,neutral
3,29,early,0,6,16,6,26,7.7,78,4.0,10.0,5.5,1,50,1,4.2,10,6,16,happy
4,1,standard,0,8,29,8,29,4.1,41,6.7,4.2,9.2,0,28,0,3.3,0,8,29,happy
4,2,standard,1,8,33,8,43,4.7,36,3.3,4.5,6.0,1,15,1,6.0,10,7,33,neutral
4,3,standard,2,8,56,8,56,6.0,32,6.0,4.1,7.8,0,57,0,5.6,0,7,56,sad
4,4,standard,3,8,34,8,34,6.6,27,5.6,4.4,8.1,0,26,0,6.1,0,7,34,sad
4,5,standard,4,8,37,9,7,4.1,22,6.1,4.0,8.0,0,39,3,4.2,30,8,37,sad
4,6,standard,5,9,11,9,21,6.3,26,4.2,3.7,8.5,1,18,1,4.8,10,10,11,happy
4,7,standard,6,9,1,9,11,7.1,25,4.8,3.7,7.3,1,9,1,6.5,10,8,1,neutral
4,8,standard,0,8,49,8,49,4.5,33,6.5,3.4,9.3,1,22,0,4.4,0,8,49,neutral
4,9,standard,1,8,10,8,10,5.3,25,4.4,2.9,5.8,1,58,0,5.2,0,7,10,happy
4,10,standard,2,8,5,8,5,5.6,30,5.2,2.4,5.3,0,44,0,5.3,0,9,5,neutral
4,11,standard,3,8,0,8,10,7.6,26,5.3,2.0,6.5,1,12,1,5.3,10,7,0,sad
